BindingDB Reactant_set_id,Ligand SMILES,BindingDB MonomerID,BindingDB Ligand Name,Target Name,Ki (nM)
51162689,CNc1ccc(cc1)C#Cc1ccc(O)cc1,50476296,CHEMBL228033,Amyloid-beta precursor protein,1.5
51163807,CNc1ccc(cc1)C#Cc1cnc(OCCO)c(Br)c1,50476855,CHEMBL232112,Amyloid-beta precursor protein,1.6
50180615,CN1CCN(CC1)c1ccc(cc1)-c1nc2ccc(Br)cc2s1,50100132,6-Bromo-2-[4-(4-methyl-piperazin-1-yl)-phenyl]-benzothiazole::CHEMBL55536,Amyloid-beta precursor protein,1.6
51177580,CNc1ccc(cc1)-c1nc2ccc(O)cc2s1,50129793,"2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol::2-(4-Methylamino-phenyl)-benzothiazol-6-ol::4-methylamino-phenyl)-benzothiazol-6-ol::6-Hydroxy-2-(4''-N-methylaminophenyl)-1,3-benzothiazole::CHEMBL1788111::CHEMBL93124::N-methyl-2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::N-methyl-[11C]2-(40-methylaminophenyl)-6-hydroxy benzothiazole::[3H]2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol",Amyloid-beta precursor protein,1.6
51172122,CNc1ccc(cn1)-c1nc2ccc(O)cc2s1,50481119,AZD-2184::CHEMBL570378,Amyloid-beta precursor protein,1.7
50236165,CNc1ccc(cc1)-c1nc2ccc(Br)cc2s1,50129794,CHEMBL328660::[4-(6-Bromo-benzothiazol-2-yl)-phenyl]-methyl-amine,Amyloid-beta precursor protein,1.7
51162686,CNc1ccc(cc1)C#Cc1ccc(OCCOCCOCCF)cc1,50476293,CHEMBL227495,Amyloid-beta precursor protein,1.9
50236148,COc1ccc2nc(sc2c1)-c1ccc(cc1)N(C)C,50129784,"4-(6-Methoxybenzo[d]thiazol-2-yl)-N,N-dimethylaniline::CHEMBL328430::[4-(6-Methoxy-benzothiazol-2-yl)-phenyl]-dimethyl-amine",Amyloid-beta precursor protein,1.9
50180608,CN(C)c1ccc(cc1)-c1nc2ccc(Br)cc2s1,50100133,CHEMBL55401::[4-(6-Bromo-benzothiazol-2-yl)-phenyl]-dimethyl-amine,Amyloid-beta precursor protein,1.9
51172126,CN(C)c1ccc(\C=C\c2ccc(I)cc2)cc1,50481123,CHEMBL570610,Amyloid-beta precursor protein,2
51179402,CNc1ccc(cc1)-c1cn2c(n1)sc1cc(OCC[18F])ccc21,50484947,CHEMBL2017621,Amyloid-beta precursor protein,2.1
51195493,CNc1ccc(\C=C\c2ccc(OCCOCCOCC[18F])cc2)cc1,50485236,BAY-949172::CHEBI:79033::FLORBETABEN F18::Florbetaben (18f)::Florbetaben F-18::Neuraceq::UNII-TLA7312TOI,Amyloid-beta precursor protein,2.2
51169325,COc1ccc2nc(sc2c1)-c1ccc(F)cc1,50293110,"2-(4-Fluorophenyl)-6-methoxybenzo[d]thiazole::6-Methoxy-2-(4'-fluorophenyl)-1,3-benzothiazole::CHEMBL490083",Amyloid-beta precursor protein,2.2
51211155,Nc1ccccc1OCc1ccc(I)cc1,50497742,CHEMBL3314336,Amyloid-beta precursor protein,1023
51211171,Nc1ccccc1OCc1ccc(I)cc1,50497742,CHEMBL3314336,Amyloid-beta precursor protein,1028
51195486,Cn1c(cc2ccccc12)-c1ccc(NCCF)cc1,50492181,CHEMBL2397725,Amyloid-beta precursor protein,1030
51195492,Cn1c(cc2ccccc12)-c1ccc(NCCCF)cc1,50492185,CHEMBL2397726,Amyloid-beta precursor protein,1098
51196555,Nc1ccc(cc1)-c1cnc2ccc(OCCF)cc2n1,50492525,CHEMBL2407626,Amyloid-beta precursor protein,1180
51211163,Nc1cccc(OCc2ccc(I)cc2)c1,50497741,CHEMBL3314335,Amyloid-beta precursor protein,1535
51211154,Nc1cccc(OCc2ccc(I)cc2)c1,50497741,CHEMBL3314335,Amyloid-beta precursor protein,1549
51163408,CNc1ccc(cc1)-c1cn2cc(SCC(N)=O)ccc2n1,50476654,CHEMBL241985,Amyloid-beta precursor protein,1840
51211151,Oc1ccccc1OCc1ccc(I)cc1,50497738,CHEMBL3314327,Amyloid-beta precursor protein,2818
51211159,Oc1ccccc1OCc1ccc(I)cc1,50497738,CHEMBL3314327,Amyloid-beta precursor protein,2831
348219,O=c1ccc2nc3ccc(OC#C)cc3oc2c1,195600,"US9216974, WC-5-1",Amyloid-beta precursor protein,4613
348217,COc1ccc2nc3ccc(=O)cc3oc2c1,195584,"US9216974, Methoxy-resorufin",Amyloid-beta precursor protein,4675
51211166,COc1ccccc1OCc1ccc(I)cc1,50497744,CHEMBL3314324,Amyloid-beta precursor protein,5129
51211176,COc1ccccc1OCc1ccc(I)cc1,50497744,CHEMBL3314324,Amyloid-beta precursor protein,5165
51211143,CNc1ccccc1OCc1ccc(I)cc1,50497734,CHEMBL3314339,Amyloid-beta precursor protein,20662
51211156,CNc1ccccc1OCc1ccc(I)cc1,50497734,CHEMBL3314339,Amyloid-beta precursor protein,20893
51180959,CNc1ccc(\C=C\c2ccc(OCCOCCOCC[18F])cc2)cc1,50485236,BAY-949172::CHEBI:79033::FLORBETABEN F18::Florbetaben (18f)::Florbetaben F-18::Neuraceq::UNII-TLA7312TOI,Amyloid-beta precursor protein,2.2
51180267,CNc1ccc(\C=C\c2ccc(OCCOCCOCC[18F])cc2)cc1,50485236,BAY-949172::CHEBI:79033::FLORBETABEN F18::Florbetaben (18f)::Florbetaben F-18::Neuraceq::UNII-TLA7312TOI,Amyloid-beta precursor protein,2.2
51172143,CNc1ccc(\C=C\c2ccc(OCCCCCCF)cc2)cc1,50481133,BAY-94-9172::CHEMBL566723,Amyloid-beta precursor protein,2.2
51179882,CNc1ccc(\C=C\c2ccc(OCCOCCOCC[18F])cc2)cc1,50485236,BAY-949172::CHEBI:79033::FLORBETABEN F18::Florbetaben (18f)::Florbetaben F-18::Neuraceq::UNII-TLA7312TOI,Amyloid-beta precursor protein,2.2
50180595,CN(C)c1ccc(cc1)-c1nc2ccc(I)cc2s1,50100130,"4-(6-Iodobenzo[d]thiazol-2-yl)-N,N-dimethylaniline::CHEMBL55380::[4-(6-Iodo-benzothiazol-2-yl)-phenyl]-dimethyl-amine",Amyloid-beta precursor protein,2.2
582011,CN(C)c1ccc(cc1)-c1nc2ccc(CO)cc2s1,303149,"US10137210, Example [N-methyl-11C]6-MeO-BTA-2",Amyloid-beta precursor protein,2.3
50344538,COc1ccc2oc(cc2c1)-c1ccc(N)cc1,50185946,5-methoxy-2-(4-aminophenyl)benzofuran::CHEMBL205221,Amyloid-beta precursor protein,2.3
51179879,CNc1ccc(-c2nc3ccc(O)cc3s2)c([18F])n1,50485233,AZD-4694::CHEMBL2042123,Amyloid-beta precursor protein,2.3
51172136,CN(C)c1ccc(\C=C\c2nc3ccccc3s2)cc1,52401,"4-[(E)-2-(1,3-benzothiazol-2-yl)ethenyl]-N,N-dimethyl-aniline::4-[(E)-2-(1,3-benzothiazol-2-yl)ethenyl]-N,N-dimethylaniline::4-[2-(1,3-benzothiazol-2-yl)vinyl]-N,N-dimethylaniline::CHEMBL565657::MLS000573782::SMR000184633::[4-[(E)-2-(1,3-benzothiazol-2-yl)vinyl]phenyl]-dimethyl-amine::cid_5378081",Amyloid-beta precursor protein,2.3
51172137,CNc1ccc(\C=C\c2ccc(O)cc2)cc1,50173647,(E)-4-(4-(methylamino)styryl)phenol::4-(4-(methylamino)styryl)phenol::4-N-methylamino-4'-hydroxystilbene::4-[(E)-2-(4-Methylamino-phenyl)-vinyl]-phenol::CHEMBL381642::SB-13::[3H]-4-(4-(methylamino)styryl)phenol,Amyloid-beta precursor protein,2.4
51169326,CNc1ccc(cc1)-c1nc2ccc(O)cc2s1,50129793,"2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol::2-(4-Methylamino-phenyl)-benzothiazol-6-ol::4-methylamino-phenyl)-benzothiazol-6-ol::6-Hydroxy-2-(4''-N-methylaminophenyl)-1,3-benzothiazole::CHEMBL1788111::CHEMBL93124::N-methyl-2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::N-methyl-[11C]2-(40-methylaminophenyl)-6-hydroxy benzothiazole::[3H]2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol",Amyloid-beta precursor protein,2.8
51171817,CNc1ccc(cc1)-c1nc2ccc(O)cc2s1,50129793,"2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol::2-(4-Methylamino-phenyl)-benzothiazol-6-ol::4-methylamino-phenyl)-benzothiazol-6-ol::6-Hydroxy-2-(4''-N-methylaminophenyl)-1,3-benzothiazole::CHEMBL1788111::CHEMBL93124::N-methyl-2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::N-methyl-[11C]2-(40-methylaminophenyl)-6-hydroxy benzothiazole::[3H]2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol",Amyloid-beta precursor protein,2.8
50344544,CN(C)c1ccc(cc1)-c1cc2cc(O)ccc2o1,50185950,5-hydroxy-2-(4-dimethylaminophenyl)benzofuran::CHEMBL204414,Amyloid-beta precursor protein,2.8
50344603,CNc1ccc(cc1)-c1nc2ccc(O)cc2s1,50129793,"2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol::2-(4-Methylamino-phenyl)-benzothiazol-6-ol::4-methylamino-phenyl)-benzothiazol-6-ol::6-Hydroxy-2-(4''-N-methylaminophenyl)-1,3-benzothiazole::CHEMBL1788111::CHEMBL93124::N-methyl-2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::N-methyl-[11C]2-(40-methylaminophenyl)-6-hydroxy benzothiazole::[3H]2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol",Amyloid-beta precursor protein,2.8
50833276,CNc1ccc(cc1)-c1nc2ccc(O)cc2s1,50129793,"2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol::2-(4-Methylamino-phenyl)-benzothiazol-6-ol::4-methylamino-phenyl)-benzothiazol-6-ol::6-Hydroxy-2-(4''-N-methylaminophenyl)-1,3-benzothiazole::CHEMBL1788111::CHEMBL93124::N-methyl-2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::N-methyl-[11C]2-(40-methylaminophenyl)-6-hydroxy benzothiazole::[3H]2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol",Amyloid-beta precursor protein,2.8
51170550,CNc1ccc(cc1)-c1nc2ccc(O)cc2s1,50129793,"2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol::2-(4-Methylamino-phenyl)-benzothiazol-6-ol::4-methylamino-phenyl)-benzothiazol-6-ol::6-Hydroxy-2-(4''-N-methylaminophenyl)-1,3-benzothiazole::CHEMBL1788111::CHEMBL93124::N-methyl-2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::N-methyl-[11C]2-(40-methylaminophenyl)-6-hydroxy benzothiazole::[3H]2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol",Amyloid-beta precursor protein,2.8
51169501,CNc1ccc(cc1)-c1nc2ccc(O)cc2s1,50129793,"2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol::2-(4-Methylamino-phenyl)-benzothiazol-6-ol::4-methylamino-phenyl)-benzothiazol-6-ol::6-Hydroxy-2-(4''-N-methylaminophenyl)-1,3-benzothiazole::CHEMBL1788111::CHEMBL93124::N-methyl-2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::N-methyl-[11C]2-(40-methylaminophenyl)-6-hydroxy benzothiazole::[3H]2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol",Amyloid-beta precursor protein,2.8
51162692,COc1ccc(cc1)C#Cc1ccc(O)cc1,50476299,CHEMBL228034,Amyloid-beta precursor protein,2.9
50236163,CN(C)c1ccc(cc1)-c1nc2ccc(Br)cc2s1,50100133,CHEMBL55401::[4-(6-Bromo-benzothiazol-2-yl)-phenyl]-dimethyl-amine,Amyloid-beta precursor protein,2.9
51179398,CNc1ccc(\C=C\c2ccc(OCCOCCOCC[18F])nc2)cc1,50484946,(18F)AV-45::18F-AV-45::AV-45 F-18::Amyvid::CHEBI:66880::Florbetapir (18f)::Florbetapir F 18,Amyloid-beta precursor protein,2.9
51172124,CNc1ccc(\C=C\c2ccc(OCCCCCCF)nc2)cc1,50481121,AV-45::Florbetapir F-18,Amyloid-beta precursor protein,2.9
51180266,CNc1ccc(\C=C\c2ccc(OCCOCCOCC[18F])nc2)cc1,50484946,(18F)AV-45::18F-AV-45::AV-45 F-18::Amyvid::CHEBI:66880::Florbetapir (18f)::Florbetapir F 18,Amyloid-beta precursor protein,2.9
51172129,CNc1ccc(\C=C\c2ccc(OCCCCF)cc2)cc1,50481126,CHEMBL566709,Amyloid-beta precursor protein,2.9
51162691,COc1ccc(cc1)C#Cc1ccc(N)cc1,50476298,CHEMBL223285,Amyloid-beta precursor protein,2.9
51162680,CN(C)c1ccc(cc1)C#Cc1ccc(OCCOCCOCCF)cc1,50476287,CHEMBL224096,Amyloid-beta precursor protein,2.9
51180957,CNc1ccc(\C=C\c2ccc(OCCOCCOCC[18F])nc2)cc1,50484946,(18F)AV-45::18F-AV-45::AV-45 F-18::Amyvid::CHEBI:66880::Florbetapir (18f)::Florbetapir F 18,Amyloid-beta precursor protein,2.9
51179886,CNc1ccc(\C=C\c2ccc(OCCOCCOCC[18F])nc2)cc1,50484946,(18F)AV-45::18F-AV-45::AV-45 F-18::Amyvid::CHEBI:66880::Florbetapir (18f)::Florbetapir F 18,Amyloid-beta precursor protein,2.9
51195494,CNc1ccc(\C=C\c2ccc(OCCOCCOCC[18F])nc2)cc1,50484946,(18F)AV-45::18F-AV-45::AV-45 F-18::Amyvid::CHEBI:66880::Florbetapir (18f)::Florbetapir F 18,Amyloid-beta precursor protein,2.9
